Channel_LID_IPTV,Name,Channel_ID,Prodaction_Status,Main_Source _Multicast,Streamer_IN_Multicast,Streamer_OUT
49,Rugby_TV_DVB_T2,335,NO,,237.5.5.42:10042,233.3.3.160:3160
50,Zoopark,585,YES,225.0.4.45:10045,228.142.1.73:7348,233.3.4.153:4153
50,Zoopark,347,YES,225.0.4.45:10045,225.0.4.45:10045,233.3.3.173:3173
51,Zdorovoe_TV,446,YES,226.0.3.140:20140,226.0.3.140:20140,233.3.4.18:4018
51,Zdorovoe_TV,1075,YES,226.0.3.140:20140,228.144.1.77:7703,233.3.3.243:3243
52,Mama,316,YES,226.0.3.134:10134,226.0.3.134:10134,233.3.3.142:3142
52,Mama,714,YES,226.0.3.134:10134,228.143.1.75:7503,233.3.5.38:5038
53,Voprosi_i_Otveti,636,YES,226.0.5.110:10110,226.0.5.110:10110,233.3.4.169:4169
53,Voprosi_i_Otveti,1076,YES,226.0.5.110:10110,228.142.1.73:7322,233.3.3.244:3244
54,T24,696,YES,226.0.1.188:10188,228.142.1.73:7306,233.3.5.20:5020
54,T24,314,YES,226.0.1.188:10188,226.0.1.188:10188,233.3.3.140:3140
55,Domashnie_Zhivotnie,746,YES,226.0.5.104:30104,226.0.5.104:30104,233.3.4.248:4248
55,Domashnie_Zhivotnie,1077,YES,226.0.5.104:30104,228.144.1.77:7705,233.3.3.245:3245
57,Sovershenno_Sekretno,657,YES,226.0.1.141:20141,228.141.1.71:7153,233.3.4.189:4189
57,Sovershenno_Sekretno,654,YES,226.0.1.141:20141,226.0.1.141:20141,233.3.4.186:4186
60,Viasat_History,438,YES,226.0.3.126:10126,228.143.1.75:7530,233.3.5.1:5001
60,Viasat_History,1078,YES,226.0.3.126:10126,228.143.1.75:7530,233.3.3.246:3246
61,Viasat_Explorer,1079,YES,226.0.3.126:10126,228.143.1.75:7532,233.3.3.247:3247
61,Viasat_Explorer,301,YES,226.0.3.126:10126,228.143.1.75:7532,233.3.5.54:5054
62,Viasat_Nature,1080,YES,226.0.3.126:10126,228.143.1.75:7531,233.3.3.248:3248
62,Viasat_Nature,700,YES,226.0.3.126:10126,228.143.1.75:7531,233.3.5.24:5024
63,Da_Vinci_Learning,704,YES,226.0.3.127:10127,228.142.1.73:7331,233.3.5.28:5028
63,Da_Vinci_Learning,1081,YES,226.0.3.127:10127,228.142.1.73:7332,233.3.3.249:3249
64,Zhivaya_Planeta,1082,YES,225.0.4.61:10061,228.144.1.77:7709,233.3.3.253:3253
64,Zhivaya_Planeta,593,YES,225.0.4.61:10061,225.0.4.61:10061,233.3.4.161:4161
66,Muzhskoe_kino,693,YES,226.0.1.164:10164,228.141.1.71:7143,233.3.5.17:5017
66,Muzhskoe_Kino,227,YES,226.0.1.164:10164,226.0.1.164:10164,233.3.3.61:3061
67,365_Days,703,YES,226.0.1.144:10144,228.141.1.71:7147,233.3.5.27:5027
67,365_Days,221,YES,226.0.1.144:10144,226.0.1.144:10144,233.3.3.55:3055
70,GMC,464,YES,237.7.7.130:10130,237.7.7.130:10130,233.3.4.36:4036
76,Atv_Turk_HD,889,NO,226.0.5.104:20104,226.0.5.104:20104,233.3.5.240:5240
77,History,936,NO,226.0.1.183:10183,226.0.1.183:10183,233.3.5.64:5064
78,Viasat_Sport,1083,YES,226.0.3.126:10126,228.142.1.73:7329,233.3.3.254:3254
78,Viasat_Sport,575,YES,226.0.3.126:10126,228.142.1.73:7329,233.3.5.4:5004
79,Boxing_TV,417,YES,226.0.1.155:10155,226.0.1.155:10155,233.3.3.233:3233
79,Boxing_TV,1084,YES,226.0.1.155:10155,228.141.1.71:7106,233.3.4.239:4239
80,Nauka,937,NO,226.0.3.180:10180,226.0.3.180:10180,233.3.5.65:5065
81,Mezzo,938,NO,226.0.3.137:10137,226.0.3.137:10137,233.3.5.66:5066
82,Mult,939,NO,226.0.3.180:10180,226.0.3.180:10180,233.3.5.67:5067
83,Auto_24,792,YES,225.0.4.40:10040,228.142.1.73:7343,233.3.3.34:3034
83,Auto_24,851,YES,225.0.4.40:10040,225.0.4.40:10040,233.3.3.73:3073
84,MMA-TV,213,YES,226.0.1.172:10172,228.143.1.75:7526,233.3.3.47:3047
84,MMA-TV,167,YES,226.0.1.172:10172,226.0.1.172:10172,233.3.3.1:3001
86,Auto_Plus,230,YES,226.0.1.186:10186,226.0.1.186:10186,233.3.3.64:3064
86,Auto_Plus,458,YES,226.0.1.186:10186,228.141.1.71:7140,233.3.4.30:4030
87,Match!_Planeta,1085,YES,226.0.1.162:10162,228.141.1.71:7152,233.3.5.165:5165
87,Match!_Planeta,698,YES,226.0.1.162:10162,226.0.1.162:10162,233.3.5.22:5022
88,KHL,1086,YES,226.0.1.172:10172,228.143.1.75:7539,233.3.5.166:5166
88,KHL,709,YES,226.0.1.172:10172,226.0.1.172:10172,233.3.5.33:5033
89,KHL_Prime,752,YES,226.0.3.133:10133,226.0.3.133:10133,233.3.3.5:3005
90,Armenia_1,941,NO,226.0.5.101:20101,226.0.5.101:20101,233.3.3.116:3116
91,Zee_TV_SRT_reserve,942,NO,225.0.7.113:10113,225.0.7.113:10113,233.3.3.120:3120
92,Russkaia_Noch_SRT_reserve,943,NO,225.0.7.114:10114,225.0.7.114:10114,233.3.3.121:3121
93,Rodnoe_Kino_SRT_reserve,944,NO,225.0.7.108:10108,225.0.7.108:10108,233.3.3.124:3124
94,Nashe_Novoe_Kino_SRT_reserve,945,NO,225.0.7.111:10111,225.0.7.111:10111,233.3.3.125:3125
95,Muzhskoe_kino_SRT_reserve,946,NO,225.0.7.106:10106,225.0.7.106:10106,233.3.4.91:4091
96,Malysh_SRT_reserve,947,NO,225.0.7.110:10110,225.0.7.110:10110,233.3.4.92:4092
97,La_Minor_SRT_reserve,948,NO,225.0.7.118:10118,225.0.7.118:10118,233.3.4.94:4094
98,KVN_TV_SRT_reserve,949,NO,225.0.7.116:10116,225.0.7.116:10116,233.3.4.95:4095
99,Kuhnia_TV_SRT_reserve,950,NO,225.0.7.100:10100,225.0.7.100:10100,233.3.4.172:4172
100,Kinoujas_SRT_reserve,951,NO,225.0.7.103:10103,225.0.7.103:10103,233.3.5.77:5077
101,Kinosvidanie_SRT_reserve,952,NO,225.0.7.102:10102,225.0.7.102:10102,233.3.5.78:5078
102,Kinoseriya_SRT_reserve,953,NO,225.0.7.104:10104,225.0.7.104:10104,233.3.5.79:5079
103,NickToons,841,NO,225.0.7.140:10140,227.143.1.75:7512,233.3.5.73:5073
103,NickToons,842,YES,225.0.7.140:10140,225.0.7.140:10140,233.3.5.74:5074
104,Kinomiks_SRT_reserve,954,NO,225.0.7.112:10112,225.0.7.112:10112,233.3.5.81:5081
105,FX,472,YES,226.0.3.130:10130,228.143.1.75:7529,233.3.4.44:4044
105,FX,333,YES,226.0.3.130:10130,226.0.3.130:10130,233.3.3.166:3166
106,Amedia_1,675,YES,225.0.4.72:10072,225.0.4.72:10072,233.3.4.233:4233
106,Amedia_1,1087,YES,225.0.4.72:10072,228.144.1.77:7713,233.3.5.167:5167
107,Amedia_Premium,178,YES,226.0.1.159:10159,226.0.1.159:10159,233.3.3.12:3012
