Channel_LID_IPTV,Name,Channel_ID,Prodaction_Status,Main_Source _Multicast,Streamer_IN_Multicast,Streamer_OUT
194,TV_Shanson,1117,YES,226.0.1.170:10170,228.141.1.71:7133,233.3.5.197:5197
194,TV_Shanson,588,YES,226.0.1.170:10170,226.0.1.170:10170,233.3.4.156:4156
195,Kto_est_kto,760,YES,226.0.1.147:10147,228.141.1.71:7154,233.3.3.10:3010
195,Kto_est_kto,643,YES,226.0.1.147:10147,226.0.1.147:10147,233.3.4.176:4176
196,Psihologia,689,YES,226.0.5.104:30104,226.0.5.104:30104,233.3.5.13:5013
196,Psihologia,1118,YES,226.0.5.104:30104,228.142.1.73:7346,233.3.5.199:5199
198,Az_TV,688,YES,225.0.4.75:20075,225.0.4.75:20075,233.3.5.12:5012
198,Az_TV,1119,YES,225.0.4.75:20075,228.144.1.77:7715,233.3.5.200:5200
199,ATV,713,YES,225.0.4.76:10076,225.0.4.76:10076,233.3.5.37:5037
199,ATV,1120,YES,225.0.4.76:10076,228.144.1.77:7716,233.3.5.201:5201
200,RTVi,478,YES,226.0.5.111:40111,228.142.1.73:7323,233.3.4.50:4050
200,RTVi,350,YES,226.0.5.111:40111,226.0.5.111:40111,233.3.3.176:3176
201,ICTV2,551,YES,225.0.4.162:10162,225.0.4.162:10162,233.3.4.120:4120
202,STS,723,YES,226.0.3.128:10128,228.143.1.75:7506,233.3.5.47:5047
202,STS,694,YES,226.0.3.128:10128,226.0.3.140:10140,233.3.5.18:5018
204,Continent_E,898,YES,,225.0.7.171:10171,233.3.5.100:5100
205,Travel_&_Adventure,759,YES,226.0.3.139:40139,226.0.3.139:40139,233.3.3.9:3009
206,Drive,1121,YES,226.0.5.101:30101,228.144.1.77:7701,233.3.5.202:5202
206,Drive,711,YES,226.0.5.101:30101,226.0.5.101:30101,233.3.5.35:5035
208,Russian_Music_Box,1122,YES,225.0.4.69:10069,228.144.1.77:7708,233.3.5.203:5203
208,Russian_Music_Box,822,YES,225.0.4.69:10069,225.0.4.69:10069,233.3.4.81:4081
210,English_Club,659,YES,226.0.3.125:10125,228.144.1.77:7712,233.3.4.191:4191
210,English_Club,656,YES,226.0.3.125:10125,226.0.3.125:10125,233.3.4.188:4188
211,Dojd,676,YES,226.0.5.102:10102,228.144.1.77:7707,233.3.4.234:4234
211,Dojd,673,YES,226.0.5.102:10102,228.144.1.77:7707,233.3.4.231:4231
212,NEW_Channel,563,YES,225.0.4.153:10153,225.0.4.153:10153,233.3.4.132:4132
213,Current_Time,720,YES,226.0.5.106:40106,226.0.5.106:40106,233.3.5.44:5044
214,Perviy_Vegetarianskiy,1063,YES,226.0.1.141:20141,228.143.1.75:7543,233.3.3.205:3205
214,Perviy_Vegetarianskiy,1058,YES,226.0.1.141:20141,226.0.1.141:20141,233.3.3.187:3187
215,Zagorodnaya_Jizn,1064,YES,226.0.1.150:10150,228.143.1.75:7545,233.3.3.207:3207
215,Zagorodnaya_Jizn,1056,YES,226.0.1.150:10150,226.0.1.150:10150,233.3.3.183:3183
216,Palitra_News_DVB_T2,416,NO,237.5.5.38:10038,237.5.5.38:10038,233.3.3.232:3232
217,Terra,1136,YES,225.0.7.155:10155,225.0.7.155:10155,233.3.5.217:5217
217,Terra,778,YES,225.0.4.143:10143,225.0.4.143:10143,233.3.5.39:5039
218,Uspeh,924,YES,226.0.1.141:30141,228.143.1.75:7547,233.3.3.95:3095
218,Uspeh,1057,YES,226.0.1.141:30141,226.0.1.141:30141,233.3.3.184:3184
219,Peretz,894,YES,226.0.3.128:10128,226.0.3.140:10140,233.3.5.245:5245
219,Peretz,1137,YES,226.0.3.128:10128,228.143.1.75:7501,233.3.5.218:5218
220,Nostalgia,254,YES,226.0.1.186:10186,226.0.1.186:10186,233.3.3.88:3088
220,Nostalgia,625,YES,226.0.1.186:10186,228.143.1.75:7556,233.3.4.211:4211
221,STB,539,YES,225.0.4.151:10151,225.0.4.151:10151,233.3.4.108:4108
222,Piatnitsa,750,YES,226.0.1.162:10162,228.142.1.73:7318,233.3.3.2:3002
222,Piatnitsa,558,YES,226.0.1.162:10162,226.0.1.162:10162,233.3.4.127:4127
223,Zee_TV,844,YES,226.0.1.147:10147,226.0.1.147:10147,233.3.5.76:5076
223,Zee_TV,869,YES,226.0.1.147:10147,228.143.1.75:7536,233.3.5.99:5099
226,Muzhskoy,1055,YES,226.0.1.150:10150,226.0.1.150:10150,233.3.3.182:3182
226,Muzhskoy,1065,YES,226.0.1.150:10150,228.143.1.75:7546,233.3.3.212:3212
228,MTV_Live_HD,389,YES,226.0.5.104:10104,226.0.5.104:10104,233.3.3.209:3209
230,MTV_00S,873,YES,226.0.5.104:10104,228.144.1.77:7719,233.3.3.131:3131
230,MTV_00S,602,YES,226.0.5.104:10104,226.0.5.104:10104,233.3.4.167:4167
231,Ictimai,962,NO,,,233.3.4.198:4198
233,Brazzers_TV_Europe,436,YES,226.0.3.137:30137,226.0.3.137:30137,233.3.3.251:3251
233,Brazzers_TV_Europe,718,YES,226.0.3.137:30137,228.142.1.73:7326,233.3.5.42:5042
234,Russkaia_Noch,370,YES,226.0.1.147:10147,226.0.1.147:10147,233.3.3.196:3196
234,Russkaia_Noch,453,YES,226.0.1.147:10147,228.143.1.75:7523,233.3.4.25:4025
235,Viasat_Action,708,YES,226.0.3.127:10127,228.142.1.73:7332,233.3.5.32:5032
235,Viasat_Action,1138,YES,226.0.3.127:10127,228.142.1.73:7332,233.3.5.219:5219
236,Dorcel_TV,614,YES,226.0.1.160:10160,226.0.1.160:10160,233.3.4.200:4200
238,Dorcel_HD,613,YES,226.0.5.111:30111,226.0.5.111:30111,233.3.5.69:5069
239,TV_Rioni,776,YES,237.7.7.242:17242,228.141.1.71:7108,233.3.3.17:3017
239,TV_Rioni,1139,YES,237.7.7.242:17242,228.141.1.71:7108,233.3.5.220:5220
240,Rugby_TV,489,YES,237.7.7.229:17229,,233.3.4.61:4061
240,Rugby_TV,404,YES,237.7.7.229:17229,237.7.7.229:17229,233.3.3.222:3222
241,Parliament,744,YES,237.7.7.112:17112,237.7.7.112:17112,233.3.4.246:4246
241,Parliament,743,YES,237.7.7.112:17112,237.7.7.112:17112,233.3.4.245:4245
242,TV25,1140,YES,237.7.7.140:17140,228.141.1.71:7129,233.3.5.221:5221
242,TV25,738,YES,237.7.7.140:17140,228.141.1.71:7129,233.3.4.240:4240
243,Trialeti,735,YES,237.7.7.164:17164,237.7.7.164:17164,233.3.4.10:4010
243,Trialeti,456,YES,237.7.7.164:17164,237.7.7.162:10162,233.3.4.28:4028
244,TV4,810,YES,237.7.7.131:10231,237.7.7.131:10231,233.3.4.197:4197
244,TV4,1141,YES,237.7.7.131:10231,237.7.7.131:10231,233.3.5.222:5222
245,Girchi_TV,451,YES,237.7.7.235:17235,237.7.7.235:17235,233.3.4.23:4023
246,Obieqtivi,1142,YES,"10166):,",228.141.1.71:7127,233.3.5.223:5223
246,Obieqtivi,788,YES,"10166):,",228.141.1.71:7127,233.3.3.23:3023
247,Mult,839,YES,226.0.3.180:10180,228.144.1.77:7743,233.3.5.71:5071
247,Mult,1143,YES,226.0.3.180:10180,228.144.1.77:7743,233.3.5.224:5224
248,BBB,896,YES,237.7.7.79:10079,237.7.7.79:10079,233.3.3.101:3101
248,BBB,849,YES,237.7.7.79:10079,237.7.7.88:10088,233.3.3.71:3071
249,I_Stereo,380,YES,,228.141.1.71:7199,233.3.3.204:3204
249,I_Stereo,1144,YES,,228.141.1.71:7199,233.3.5.225:5225
250,Channel_Five,991,YES,237.7.7.141:17141,237.7.7.141:17141,233.3.5.115:5115
251,PK_TV,1145,YES,237.7.7.212:17212,237.7.7.212:17212,233.3.5.226:5226
251,PK_TV,859,YES,237.7.7.212:17212,237.7.7.212:17212,233.3.4.251:4251
252,Mega_TV,819,YES,237.7.7.146:17146,237.7.7.147:17147,233.3.4.78:4078
252,Mega_TV,1146,YES,237.7.7.146:17146,237.7.7.146:17146,233.3.5.227:5227
253,ERI_Media,739,YES,237.7.7.135:10135,237.7.7.135:10135,233.3.4.241:4241
254,Sezoni_TV,452,NO,237.7.7.176:17176,237.7.7.176:17176,233.3.4.24:4024
255,TVC,927,YES,237.7.7.151:17151,237.7.7.155:17155,233.3.3.104:3104
255,TVC,976,YES,237.7.7.151:17151,237.7.7.151:17151,233.3.5.90:5090
256,Gurjaani_TV,804,YES,237.7.7.116:10116,237.7.7.116:10116,233.3.3.29:3029
256,Gurjaani_TV,1147,YES,237.7.7.116:10116,237.7.7.116:10116,233.3.5.228:5228
257,Royal_Channel,782,YES,237.7.7.22:17022,237.7.7.21:17021,233.3.3.19:3019
257,Royal_Channel,310,YES,237.7.7.22:17022,237.7.7.22:17022,233.3.3.137:3137
258,Stereo_Plus,784,YES,237.7.7.27:17027,237.7.7.27:17027,233.3.3.20:3020
258,Stereo_Plus,1148,YES,237.7.7.27:17027,237.7.7.27:17027,233.3.5.229:5229
259,Qartuli_TV,629,YES,237.7.7.68:10068,237.7.7.68:10068,233.3.4.215:4215
259,Qartuli_TV,1149,YES,237.7.7.68:10068,237.7.7.68:10068,233.3.5.230:5230
260,Imervizia,829,YES,237.7.7.69:10069,237.7.7.69:10069,233.3.4.72:4072
260,Imervizia,1150,YES,237.7.7.69:10069,237.7.7.69:10069,233.3.5.231:5231
261,Dia_TV,1151,YES,237.7.7.71:10071,237.7.7.71:10071,233.3.5.232:5232
261,Dia_TV,832,YES,237.7.7.71:10071,237.7.7.71:10071,233.3.4.139:4139
262,Adjara_TV_HD,872,YES,237.7.7.215:17215,237.7.7.215:17215,233.3.3.130:3130
263,STARVISION,836,YES,237.7.7.74:10074,237.7.7.74:10074,233.3.4.159:4159
263,STARVISION,669,YES,237.7.7.74:10074,237.7.7.73:10073,233.3.4.227:4227
264,O2,845,YES,237.7.7.186:17186,237.7.7.186:17186,233.3.4.162:4162
265,ALT_info,817,YES,237.7.7.180:17180,237.7.7.180:17180,233.3.4.70:4070
266,First_Channel,295,YES,237.7.7.246:10246,237.7.7.246:10246,233.3.3.123:3123
267,SDASU_TV,884,YES,237.7.7.89:10089,237.7.7.85:10085,233.3.3.69:3069
267,SDASU_TV,850,YES,237.7.7.89:10089,237.7.7.89:10089,233.3.3.72:3072
268,Dardimandi,807,YES,237.7.7.90:10090,237.7.7.90:10090,233.3.3.45:3045
269,TV_Monitoring,963,YES,237.7.7.118:17118,237.7.7.118:17118,233.3.4.236:4236
270,BMG,1021,YES,237.7.7.113:17113,237.7.7.113:17113,233.3.5.145:5145
271,Mall_TV,618,YES,237.7.7.99:10099,237.7.7.99:10099,233.3.4.204:4204
271,Mall_TV,1152,YES,237.7.7.99:10099,237.7.7.99:10099,233.3.5.233:5233
272,TV24,621,YES,237.7.7.139:10139,237.7.7.139:10139,233.3.4.207:4207
272,TV24,610,YES,237.7.7.143:10143,237.7.7.143:10143,233.3.4.199:4199
273,Odishi,1153,YES,237.7.7.209:17209,237.7.7.209:17209,233.3.5.234:5234
273,Odishi,258,YES,237.7.7.209:17209,237.7.7.209:17209,233.3.3.90:3090
274,Guria_TV,650,YES,237.7.7.214:17214,237.7.7.214:17214,233.3.4.183:4183
274,Guria_TV,1154,YES,237.7.7.214:17214,237.7.7.214:17214,233.3.5.235:5235
275,L_TV,437,YES,237.7.7.217:17217,237.7.7.217:17217,233.3.3.252:3252
276,TV_Tanamgzavri,781,YES,237.7.7.225:17225,237.7.7.225:17225,233.3.3.18:3018
277,GDS,529,YES,237.7.7.195:10195,237.7.7.195:10195,233.3.4.100:4100
277,GDS,530,YES,237.7.7.196:10196,237.7.7.196:10196,233.3.4.101:4101
278,Maestro,827,YES,237.7.7.13:10013,237.7.7.13:10013,233.3.4.54:4054
278,Maestro,1155,YES,237.7.7.13:10013,237.7.7.13:10013,233.3.5.236:5236
279,Comedy_Arkhi,566,YES,237.7.7.104:10104,237.7.7.101:10101,233.3.4.135:4135
279,Comedy_Arkhi,802,YES,237.7.7.104:10104,237.7.7.104:10104,233.3.4.26:4026
280,Marao,791,YES,237.7.7.102:10102,237.7.7.102:10102,233.3.3.33:3033
280,Marao,468,YES,237.7.7.102:10102,237.7.7.103:10103,233.3.4.40:4040
281,Mtavari_Arkhi,1156,YES,237.7.7.222:17222,237.5.5.37:10037,233.3.5.237:5237
281,Mtavari_Arkhi,717,YES,237.7.7.222:17222,237.5.5.37:10037,233.3.5.41:5041
282,Georgian_Chess_TV,366,YES,237.7.7.127:17127,237.7.7.127:17127,233.3.3.192:3192
283,FORMULA,420,YES,237.7.7.175:17175,237.7.7.171:17171,233.3.3.236:3236
283,FORMULA,754,YES,237.7.7.175:17175,237.7.7.175:17175,233.3.3.7:3007
284,TV_AGROGAREMO,761,YES,237.7.7.97:17097,237.7.7.97:17097,233.3.3.11:3011
285,GMS,553,YES,237.7.7.111:17111,237.7.7.111:17111,233.3.4.122:4122
286,GMTV,302,YES,237.7.7.167:17167,237.7.7.167:17167,233.3.5.48:5048
287,Georgian_Times,406,YES,237.7.7.153:17153,237.7.7.153:17153,233.3.4.97:4097
288,TV_ARGO,208,YES,237.7.7.136:17136,237.7.7.136:17136,233.3.3.42:3042
290,Green_TV-Chkhenkeli,916,YES,237.7.7.191:17191,237.7.7.191:17191,233.3.3.82:3082
291,TV_Saperavi,487,YES,237.7.7.150:17150,237.7.7.150:17150,233.3.4.59:4059
291,TV_Saperavi,1157,YES,237.7.7.150:17150,237.7.7.150:17150,233.3.5.238:5238
292,Tok_TV,264,YES,237.7.7.148:17148,237.7.7.148:17148,233.3.3.96:3096
293,Silk_Documentary,272,YES,237.7.171.55:17155,237.7.171.55:17155,233.3.3.103:3103
293,Silk_Documentary,587,YES,237.7.171.55:17155,237.7.171.56:17156,233.3.4.155:4155
294,Batumi_TV,360,YES,237.7.7.231:17231,237.7.7.232:17232,233.3.3.186:3186
294,Batumi_TV,502,YES,237.7.7.231:17231,237.7.7.231:17231,233.3.4.73:4073
295,Mir,818,YES,226.0.5.102:20102,226.0.5.102:20102,233.3.4.71:4071
295,Mir,1158,YES,226.0.5.102:20102,228.144.1.77:7720,233.3.5.239:5239
296,Mir_24,1159,YES,226.0.1.168:10168,228.141.1.71:7138,233.3.5.246:5246
296,Mir_24,820,YES,226.0.1.168:10168,226.0.1.168:10168,233.3.4.79:4079
297,Armenia_1,356,YES,226.0.5.101:20101,228.144.1.77:7721,233.3.4.84:4084
297,Armenia_1,1160,YES,226.0.5.101:20101,228.144.1.77:7721,233.3.5.247:5247
298,Home_4K,414,NO,225.0.7.119:10119,225.0.7.119:10119,233.3.3.230:3230
299,Fashion_&_Style_4K,847,YES,226.0.1.156:20156,226.0.1.156:20156,233.3.4.143:4143
301,Belarus_24,904,YES,226.0.1.183:10183,228.141.1.71:7135,233.3.5.250:5250
301,Belarus_24,620,YES,226.0.1.183:10183,226.0.1.183:10183,233.3.4.206:4206
302,CCTV4,1019,YES,226.0.1.175:20175,237.5.5.112:10112,233.3.5.143:5143
727,TRT_AVAZ_HD,973,NO,,226.0.3.210:10210,233.3.5.91:5091
327,DocuBox,180,YES,,228.144.1.77:7737,233.3.3.14:3014
328,Fun_fast_box_HD,974,YES,,226.0.3.125:20125,233.3.5.92:5092
724,Stereo_Plus_test,975,NO,,,233.3.5.93:5093
723,Imedi_HD_Test,977,NO,,237.7.7.252:17252,233.3.5.94:5094
722,Maestro_HD_Test,978,NO,,237.7.7.253:17253,233.3.5.95:5095
721,Tsinandali_2,979,NO,,237.7.7.189:17189,233.3.5.96:5096
736,Fashion_&_LifeStyle_Reserve,981,NO,,225.0.7.126:10126,233.3.5.98:5098
735,TV_25_satelite,982,NO,,228.142.1.73:7327,233.3.5.101:5101
734,tv_pirveli_satelite,983,NO,,226.0.1.166:10166,233.3.5.102:5102
733,MTAVARI_ARKHI_satelite,984,NO,,228.142.1.73:7320,233.3.5.103:5103
732,365_Days_SRT_reserve,985,NO,,227.145.1.79:7942,233.3.5.110:5110
731,ATV_Avrupa,648,NO,,226.0.5.106:10106,233.3.4.181:4181
730,ATV_Avrupa,442,NO,,226.0.5.106:10106,233.3.4.14:4014
325,Film_Box_Baltic,196,YES,,226.0.5.101:40101,233.3.3.30:3030
324,meteo24,369,YES,237.7.7.117:17117,237.7.7.117:17117,233.3.3.194:3194
331,Fight_box_HD,987,YES,226.0.1.184:10184,226.0.1.184:10184,233.3.5.112:5112
415,Mtavari_Arkhi_HD,988,NO,237.7.7.221:17221,237.7.7.221:17221,233.3.5.113:5113
414,Comedy_Arkhi_satelite,989,NO,226.0.1.166:10166,226.0.1.166:10166,233.3.5.114:5114
413,Rustavi_2_satelite,992,NO,,228.142.1.73:7325,233.3.5.116:5116
412,POS_TV_satelite,993,NO,226.0.1.166:10166,226.0.1.166:10166,233.3.5.117:5117
432,FORMULA_satelite,994,NO,226.0.3.121:10121,226.0.3.121:10121,233.3.5.118:5118
330,Gametoon_HD,995,YES,226.0.1.184:10184,226.0.1.184:10184,233.3.5.119:5119
332,Fashion_Box,996,YES,226.0.3.125:20125,226.0.3.125:20125,233.3.5.120:5120
329,360_Tune_Box,997,YES,226.0.3.125:20125,226.0.3.125:20125,233.3.5.121:5121
335,Erox,998,NO,226.0.3.127:30127,226.0.3.127:30127,233.3.5.122:5122
337,Auto_Plus_SRT_reserve,1000,NO,,227.145.1.79:7952,233.3.5.124:5124
338,Palitra_news_test,1001,NO,229.0.3.153:11153,229.0.3.153:11153,233.3.5.125:5125
339,Music_box_test,1002,NO,229.0.3.152:11152,229.0.3.152:11152,233.3.5.126:5126
340,Indijskoe_kino_SRT_reserve,1003,NO,,227.145.1.79:7939,233.3.5.127:5127
341,Boxing_TV_SRT_reserve,1004,NO,,225.0.7.132:10132,233.3.5.128:5128
342,POS_TV_satelite,1005,NO,,,233.3.5.129:5129
343,English_Club_test,1006,NO,,226.0.2.43:31182,233.3.5.130:5130
344,IQ_HD_test,1007,NO,,225.0.4.84:10084,233.3.5.131:5131
345,TV3_test,1008,NO,,225.0.4.86:10086,233.3.5.132:5132
346,vip_hd,1009,NO,,237.7.7.5:17005,233.3.5.133:5133
347,vip_hit_sd,1010,NO,,237.7.7.6:17006,233.3.5.134:5134
348,vip_family_sd,1011,NO,,237.7.7.7:17007,233.3.5.135:5135
349,Sarafan_RESERV,1012,NO,,225.0.7.120:10120,233.3.5.136:5136
350,Space_TV,604,NO,,,233.3.4.193:4193
351,Azad,605,NO,,,233.3.4.194:4194
352,Imedi_ENCODER_RESERVE_droebit,1013,NO,,237.7.7.152:17152,233.3.5.137:5137
354,orujie_RESERV,1015,NO,,225.0.7.128:10128,233.3.5.139:5139
355,Maestro_ENCODER_RESERVE_droebit,1016,NO,,237.7.7.154:17154,233.3.5.140:5140
356,SILK_Documentary_HD_Reserve,624,NO,,225.0.4.137:5137,233.3.4.210:4210
357,Sapfir,1017,NO,,225.0.4.142:10142,233.3.5.141:5141
360,kineko,1020,NO,,225.0.4.144:10144,233.3.5.144:5144
362,365_Days_SRT_reserve,1022,NO,,225.0.7.107:10107,233.3.5.146:5146
367,First_Channel/TVschool_HD_Test,1027,NO,,237.7.7.172:17172,233.3.5.150:5150
369,ADJARASPORT_1_24mbps,1029,NO,,237.7.7.243:17243,233.3.5.152:5152
374,ADJARASPORT_2_24mbps,1034,NO,,237.7.7.245:17245,233.3.5.157:5157
375,Eroxxx_HD,1035,NO,,226.0.3.127:30127,233.3.5.158:5158
378,Pervy_Kanal,1038,NO,,,233.3.5.162:5162
379,Russia_1,1039,NO,,,233.3.5.163:5163
326,Film_Box_Arthouse,1042,YES,,226.0.5.101:40101,233.3.3.135:3135
326,Filmbox_Arthouse,1043,NO,,228.142.1.73:7313,233.3.3.136:3136
384,FenixPlus_RESERV,1044,NO,,225.0.7.127:10127,233.3.3.138:3138
329,360_Tunebox,862,NO,,228.143.1.75:7549,233.3.3.38:3038
332,Fashionbox,824,NO,,226.0.3.125:20125,233.3.4.136:4136
387,inter_plus,1047,NO,,225.0.4.249:20249,233.3.3.148:3148
388,Telecafe,866,NO,,,233.3.3.65:3065
390,Muxiani_Test_channel2,1050,NO,,,233.3.3.152:3152
391,Kinohit_SRT_reserve,463,NO,,227.145.1.79:7932,233.3.4.35:4035
325,FilmBox_baltic,395,NO,,228.142.1.73:7312,233.3.3.215:3215
393,Kinokomediya_SRT_reserve,212,NO,,227.145.1.79:7946,233.3.3.46:3046
394,Kinopremiera_SRT_reserve,865,NO,,225.0.7.130:10130,233.3.3.59:3059
395,Kinosemya_SRT_reserve,816,NO,,227.145.1.79:7955,233.3.4.74:4074
396,Kinoseriya_SRT_reserve,425,NO,,227.145.1.79:7938,233.3.3.225:3225
397,test,867,NO,,,233.3.3.66:3066
398,Pos_TV_DVB_T2,320,NO,,228.141.1.71:7130,233.3.3.146:3146
399,Fenix_Kino_srt,1059,NO,,227.145.1.79:7953,233.3.3.195:3195
401,Formula_test,193,NO,,237.7.7.171:17171,233.3.3.27:3027
403,Zee_TV_SRT_reserve,805,NO,,227.145.1.79:7950,233.3.5.80:5080
408,kto_kuda,1067,NO,,227.141.1.71:7105,233.3.3.218:3218
417,SILK_SPORT_HD1_Reserve,497,NO,,229.0.3.200:11200,233.3.4.69:4069
423,SILK_HOLLYWOOD_Reserve,105,NO,,225.0.4.134:5134,233.3.5.105:5105
424,SILK_KIDS_Reserve,106,NO,,225.0.4.136:5136,233.3.5.106:5106
425,SILK_Movie_Collection_Reserve,107,NO,,225.0.4.135:5135,233.3.5.107:5107
426,POS_TV,108,NO,,227.141.1.71:7110,233.3.5.108:5108
470,Silk_Sport_HD_1_teleport,1123,NO,,225.0.4.126:5126,233.3.5.204:5204
471,Silk_Sport_SD_1_teleport,1124,NO,,225.0.4.127:5127,233.3.5.205:5205
472,Silk_Sport_HD_2_teleport,1125,NO,,225.0.4.128:5128,233.3.5.206:5206
473,Silk_Sport_SD_2_teleport,1126,NO,,225.0.4.129:5129,233.3.5.207:5207
474,Silk_Sport_HD_3_teleport,1127,NO,,225.0.4.130:5130,233.3.5.208:5208
475,Silk_Sport_SD_3_teleport,1128,NO,,225.0.4.131:5131,233.3.5.209:5209
476,Silk_Universal_HD_teleport,1129,NO,,225.0.4.132:5132,233.3.5.210:5210
477,Silk_Universal_SD_teleport,1130,NO,,225.0.4.133:5133,233.3.5.211:5211
478,Silk_Documentary_HD_teleport,1131,NO,,225.0.4.137:5137,233.3.5.212:5212
479,Silk_Documentary_SD_teleport,1132,NO,,225.0.4.138:5138,233.3.5.213:5213
480,Silk_Movie_Collection_teleport,1133,NO,,225.0.4.135:5135,233.3.5.214:5214
481,Silk_Hollywood_Movies_teleport,1134,NO,,225.0.4.134:5134,233.3.5.215:5215
482,Silk_Kids_teleport,1135,NO,,225.0.4.136:5136,233.3.5.216:5216
334,4ever_Music,206,YES,,225.0.7.151:10151,233.3.3.40:3040
502,Kinoujas_SRT_reserve,549,NO,,227.145.1.79:7935,233.3.4.118:4118
503,RTD,415,NO,,226.0.3.178:10178,233.3.3.231:3231
504,Glazami_Turista_HD_SRT,848,NO,,225.0.7.124:10124,233.3.3.70:3070
510,Marao_DVB_T2,721,NO,,237.5.5.33:10033,233.3.5.45:5045
513,Erox,1161,NO,,228.143.1.75:7548,233.3.5.248:5248
514,I_Stereo_OPT_TEST,921,NO,,,233.3.3.91:3091
516,eu_music_srt,922,NO,,225.0.7.150:10150,233.3.3.92:3092
521,Luxury,622,NO,,,233.3.4.208:4208
522,Palitranews_test,684,NO,,,233.3.5.8:5008
525,Malysh_SRT_reserve,722,NO,,227.145.1.79:7947,233.3.5.46:5046
529,Muzhskoe_kino_SRT_reserve,729,NO,,227.145.1.79:7941,233.3.4.4:4004
530,Medeniyyet_TV_HD,388,NO,,226.0.1.156:40156,233.3.3.208:3208
531,Kinosvidanie_SRT_reserve,477,NO,,227.145.1.79:7934,233.3.4.49:4049
532,Kuhnia_TV_SRT_reserve,359,NO,,227.145.1.79:7931,233.3.3.185:3185
534,Discovery_Channel,255,NO,,,233.3.3.89:3089
535,Discovery_Science,354,NO,,,233.3.3.180:3180
536,TLC,448,NO,,,233.3.4.20:4020
536,TLC,352,NO,,226.0.1.198:10198,233.3.3.178:3178
537,DTX,353,NO,,,233.3.3.179:3179
537,La_Minor_SRT_reserve,449,NO,,227.145.1.79:7956,233.3.4.21:4021
538,Animal_Planet,577,NO,,,233.3.4.145:4145
538,Animal_Planet,319,NO,,226.0.1.173:10173,233.3.3.145:3145
539,Eurosport,262,NO,,229.0.3.105:14105,233.3.3.94:3094
540,Eurosport_2,169,NO,,229.0.3.82:14082,233.3.3.3:3003
541,Eurosport_HD,390,NO,,229.0.3.105:11105,233.3.3.210:3210
542,Eurosport_2_HD,774,NO,,229.0.3.82:11082,233.3.3.15:3015
543,UdarTV,811,NO,,225.0.7.129:10129,233.3.3.43:3043
561,muxiani_test_dsl,542,NO,,237.7.171.83:11183,233.3.4.111:4111
563,Glazami_Turista_4K_SRT,488,NO,,225.0.7.149:10149,233.3.4.60:4060
564,Sumiko_HD_SRT,716,NO,,225.0.7.135:10135,233.3.5.40:5040
600,mtv_azerbaijan_sd,339,NO,,226.0.1.156:40156,233.3.3.164:3164
620,livenature_hd,1046,NO,,225.0.7.125:10125,233.3.3.143:3143
621,tourist_eyes_hd,1045,NO,,225.0.7.124:10124,233.3.3.139:3139
622,zhivi_aktivno_hd,1053,NO,,225.0.7.123:10123,233.3.3.177:3177
625,History 2_HD SRT,732,NO,,225.0.7.147:10147,233.3.4.7:4007
628,GTTV_Test,843,NO,,237.7.7.153:17153,233.3.5.75:5075
641,KVN_TV_SRT_reserve,536,NO,,227.145.1.79:7954,233.3.4.105:4105
642,Kinomiks_SRT_reserve,537,NO,,227.145.1.79:7949,233.3.4.106:4106
645,1_CHANNEL_SAT_MPEG4,540,NO,,227.141.1.71:7124,233.3.4.109:4109
648,Stereo_Plus_DVB_T2,543,NO,,237.5.5.35:10035,233.3.4.112:4112
649,Obieqtivi_Sat,544,NO,226.0.1.166:10166,227.141.1.71:7127,233.3.4.113:4113
651,SILK_SPORT_HD2_Reserve,546,NO,,225.0.4.128:5128,233.3.4.115:4115
653,Russkaia_Noch_SRT_reserve,706,NO,,227.145.1.79:7951,233.3.5.30:5030
657,Nostalgia_SRT_reserve,552,NO,,228.144.1.77:7740,233.3.4.121:4121
659,SILK_SPORT_2_SD_Reserve,554,NO,,225.0.4.129:5129,233.3.4.123:4123
660,SILK_SPORT_1_SD_Reserve,555,NO,,225.0.4.127:5127,233.3.4.124:4124
661,Kids_TV_HD_SRT,556,NO,,225.0.7.148:10148,233.3.4.125:4125
666,Channel_1_encoder,561,NO,,228.141.1.71:7102,233.3.4.130:4130
667,Rustavi_2_Delisi_Encoder,562,NO,,228.141.1.71:7119,233.3.4.131:4131
670,EBS_+_HD,565,NO,,226.0.3.212:10212,233.3.4.134:4134
673,History HD SRT,547,NO,,225.0.7.146:10146,233.3.4.116:4116
675,Imedi_Sat,972,NO,,228.143.1.75:7551,233.3.5.89:5089
676,SILK_Documentary_SD_Reserve,279,NO,,225.0.4.138:5138,233.3.3.110:3110
678,Curiosity_SRT,966,NO,,225.0.7.145:10145,233.3.5.83:5083
687,Boxing_TV_SRT_reserve,1052,NO,,225.0.7.132:10132,233.3.3.159:3159
690,Comedy_Arkhi_satelite,964,NO,,228.143.1.75:7555,233.3.4.237:4237
698,Jivaiai_Planeta_RESERV,413,NO,,225.0.7.121:10121,233.3.3.229:3229
700,Rustavi_2,283,NO,,237.7.7.106:10106,233.3.3.114:3114
700,Rustavi_2,475,NO,,237.7.7.105:10105,233.3.4.47:4047
702,Muxiani_Test_Channel,798,NO,,225.0.7.159:10159,233.3.3.26:3026
706,Rodnoe_Kino_SRT_reserve,1048,NO,,227.145.1.79:7944,233.3.3.150:3150
