2024-11-18 15:49:25,  0,  0,  0,  0,  0
2024-11-18 15:49:58,  0,  0,  0,  0,  0
2024-11-18 15:50:31,  0,  0,  0,  0,  0
2024-11-18 15:51:04,  0,  0,  0,  0,  0
2024-11-18 15:51:38,  0,  0,  0,  0,  0
2024-11-18 15:52:11,  0,  0,  0,  0,  0
2024-11-18 15:52:44,  0,  0,  0,  0,  0
2024-11-18 15:53:17,  0,  0,  0,  0,  0
2024-11-18 15:53:51,  0,  0,  0,  0,  0
2024-11-18 15:54:24,  0,  0,  0,  0,  0
2024-11-18 15:54:57,  0,  0,  0,  0,  0
2024-11-18 15:55:30,  0,  0,  0,  0,  0
2024-11-18 15:56:03,  0,  0,  0,  0,  0
2024-11-18 15:56:37,  0,  0,  0,  0,  0
2024-11-18 15:57:11,  0,  0,  0,  0,  0
2024-11-18 15:57:31,  1,  11,  0,  0,  0
